#size threads Join(1000)/Join(1000) Join(1000)/JoinContext(1000) JoinContext(1000)/Join(1000) JoinContext(1000)/JoinContext(1000) sequential
10000 1 529947.8 569161.5 426029 445383.5 330287.7
10000 2 358216.2 284733.2 429614.3 264020.4 334475.1
10000 3 224255.8 283240.1 245482 241791.7 333274.8
10000 4 479926.5 184844.8 184938.6 188737 336208.7
20000 1 1239936.1 1247842.1 950276.7 888271.1 730775.9
20000 2 665904.2 681299.2 801779.4 562687.4 724921.7
20000 3 722837 497630.7 482190.3 559545.5 723214.8
20000 4 416310.7 450445.9 366124.5 367009.4 700535.2
50000 1 3413492.4 3479372.2 2509124.8 2488734.7 1973201.2
50000 2 2024462.1 1974150.4 1680020.4 1452500.3 1972341.2
50000 3 1300427.6 1539838.7 1250112.4 1246739.8 1969137.1
50000 4 966739 956432.6 1038555.8 863920.4 1987066.5
100000 1 7765078.5 7650921.3 5285658.8 5209835.7 4183917.5
100000 2 4139034.3 4573978.6 3060223.8 3336993.9 4207210.9
100000 3 2879777.3 2926799.5 2495873.2 2525845.6 4206008.7
100000 4 2248437.9 2221029.8 1856508.2 1873483.5 4198271.9
200000 1 16909293.6 15783344.7 10469866.7 10403617.9 8496164.5
200000 2 8571840.6 8565863.3 6130341 6496161.6 8310510.9
200000 3 5988129.4 5931778.5 5693806.7 5423222.5 8321987.8
200000 4 4579233.3 4680015.9 3815472.4 3960711.8 8309719.3
500000 1 43370840.2 42697687.9 27551455.6 27228521.4 22182779.5
500000 2 22103039.3 22161421.3 15153858.6 15015011.8 22148598.6
500000 3 16259349.1 15929635 12968604.7 13097273.1 22180081.5
500000 4 12596226.5 11962331.6 9220674.3 9277939.2 22188563.4
1000000 1 92986915.8 91035199.5 57049954.6 56689047.2 46639652.3
1000000 2 47221366.2 47620071 31372895.5 32044187.8 46448421.3
1000000 3 32699865.8 33220662.6 27844880.2 27549995.7 46532684.9
1000000 4 25038771.5 26215580.7 18510036.8 18662792.3 46530136.5
5000000 1 569963742.3 558945706.8 317839498.3 314100226.5 257749998.6
5000000 2 289028824.7 281365793.3 170280630.7 165975952.7 260600495.3
5000000 3 198897485.8 197297746.6 140394811.5 146846375.7 257428458.1
5000000 4 153920180.7 149902808 101041631 97873548.1 257051437.9
