#size threads Join(1000)/Join(1000) Join(1000)/JoinContext(1000) JoinContext(1000)/Join(1000) JoinContext(1000)/JoinContext(1000) sequential
10000 1 769300.64 712905.63 552630.05 548462.48 413646.09
10000 2 406121.83 407962.27 346563.01 334401.24 414006.54
10000 3 405909.59 406258.05 345120.11 346146.77 425057.82
10000 4 450853.7 460522.11 442260.23 415286.69 412904.4
20000 1 1621386.49 1601607.57 1148087.24 1131641.23 874756.3
20000 2 871626.61 907524.66 694058.5 702758.82 878330.89
20000 3 921936.05 883411.26 718776.65 691020.21 878092.02
20000 4 981221.15 898657.25 835386.31 726174.52 901269.46
50000 1 4528486.35 4444302.15 3045345.64 3012389.32 2478854.4
50000 2 2391399.42 2439691.95 1777777.5 1789636.13 2505828.64
50000 3 2393282.4 2368354.73 1799405.83 1800372.41 2490323.4
50000 4 2539197.67 2461730.97 1946518.1 1873550.03 2406111.9
100000 1 9946111.76 9770219.94 6339428.22 6296730.85 5067197.34
100000 2 5188742.78 5177995.93 3665533.63 3550433.94 5046872.23
100000 3 5306351.83 5213355.6 3688345.9 3691191.29 5067557.79
100000 4 5546780.41 5394578.57 3845009.17 3796505.86 5062617.73
200000 1 21575159.13 21221211.02 13155356.09 13025550.3 10667681.92
200000 2 11119385.4 10990526.06 7441108.97 7334269.68 11140362.4
200000 3 11383631.83 11148311.82 7751398.28 7769321.41 11130327.91
200000 4 11649182.31 11449206.36 8191380.76 7851647.09 10633944.85
500000 1 58628318.77 57459898.83 34689807.44 34304612.27 28374766.46
500000 2 30383905.66 30067976.37 19390030.2 19371267.66 28274516.42
500000 3 30574482.87 30008762.64 21250972.32 21219140.85 28248588.43
500000 4 30929918.29 30344380.49 22071148.31 22338065.66 28228924.98
1000000 1 125931972.87 123290451.48 73506482.78 72540994.04 62692433.72
1000000 2 65185749.28 64066401.9 40470720.95 40463928.54 62607723.79
1000000 3 65925945.93 64283293.5 44907962.73 44371273.7 62426378.16
1000000 4 66115587.63 64576299.01 47086730.54 45663003.03 62555591.87
5000000 1 798122484.66 765605746.14 421228405.97 409136497.48 334605856.01
5000000 2 420646585.21 404688055.96 232223545.57 229250535.43 334204489.51
5000000 3 421609024.09 406713066.88 258460703.95 250501927.58 333492338.41
5000000 4 422675506.32 406744041.24 265261321.08 258006732.46 334920023.99
