#size threads Join(1000)/Join(1000) Join(1000)/JoinContext(1000) JoinContext(1000)/Join(1000) JoinContext(1000)/JoinContext(1000) sequential
10000 1 72892.62 72700.65 42042.17 41797.04 20145.59
10000 2 59612.69 56935.56 36153 33938.99 20187.49
10000 3 44909.2 92493.37 35118.54 33566.05 20385.86
10000 4 84357.32 82329.13 32755.86 34464.2 20359.32
20000 1 156328.04 158055.3 77814.53 77943.67 40629.96
20000 2 106263.07 94220.6 52170.13 52046.48 40422.48
20000 3 95671.3 107140.26 55352.18 57001.17 40463.69
20000 4 121567.1 96880.98 93575.32 105470.32 40233.19
50000 1 364088.72 366656.18 180859.84 180098.6 99843.06
50000 2 222107.14 228548.78 127253.03 118489.81 100114.07
50000 3 222142.11 227376.83 114038.7 120156.94 100500.95
50000 4 232819.76 323060.75 230844.54 162250.76 99559.48
100000 1 804749.46 816935.02 348505.97 348760.2 198729.25
100000 2 503875.14 496823.1 229544.07 218857.28 198674.01
100000 3 493869.33 491607.24 222125.98 218631.74 203429.6
100000 4 518451.42 530833.93 243404.41 297318.58 200130.31
200000 1 1609033.01 1611835.82 672105.24 675288.67 408102.58
200000 2 950098.83 948736.84 426367.36 458047.49 398929.35
200000 3 958452.13 960385.34 453173.06 434645.08 398450.94
200000 4 999635.15 991251.22 501105.82 487346.02 397093.92
500000 1 4271129.97 4246185.49 1866466.24 1847873.22 998987.08
500000 2 2581590.62 2641639.1 1164437.39 1159319.23 1000900.78
500000 3 2622612.36 2630870.6 1197815.43 1182213.86 1007436.66
500000 4 2696811.77 2672335.26 1269439.75 1149804.47 1001753.53
1000000 1 10377006.84 10447072.22 6668162.01 6630942.43 2012672.57
1000000 2 7567526.65 7635114.68 5538815.25 5466820.16 2006335.1
1000000 3 7672203.51 7713492.79 5959261.94 5886541.82 1996885.25
1000000 4 7817553.69 7821469.82 5932577.64 5853251.12 2024935.05
5000000 1 104738425.1 104644057.34 49070780.91 49024364.85 13976083.86
5000000 2 82274240.96 82005254.8 39368778.5 39223273.42 13873588.89
5000000 3 84785475.22 84972160.68 55046012.32 54474920.44 13890469.99
5000000 4 85957268.1 85787618.68 55586066.04 55851785.86 13878694.51
