#size threads Join(1000)/Join(1000) Join(1000)/JoinContext(1000) JoinContext(1000)/Join(1000) JoinContext(1000)/JoinContext(1000) sequential
10000 1 43367.76 43190.3 18984.86 20508.78 7565.41
10000 2 25183.35 38321.65 19373.81 17424.5 7619.21
10000 3 39427.23 48559.24 18643.95 18539.17 7461.32
10000 4 27368.78 57677.94 18897.5 17454.54 7467.63
20000 1 84968.47 84342.66 28234.83 28443.7 14299.73
20000 2 48687 55980.14 22460.27 22474.15 17004
20000 3 49449.66 49429.49 22810.08 22625.76 16468.33
20000 4 76243.02 88558.45 55750.98 40965.2 14336.02
50000 1 172664.39 173129.6 50730.66 50899.69 34684.19
50000 2 101665.21 102274.23 34527.72 35339.98 35105.31
50000 3 104371.68 99465.23 36721.52 35452.43 34754.05
50000 4 153852.85 156890.34 54532.17 56964.8 34635.29
100000 1 342861.3 342619.61 86723.7 86326.98 68204.05
100000 2 192627.03 192398.63 62127.66 56786.11 68417.72
100000 3 197141.74 191955.06 55719.61 71058.54 68374.43
100000 4 267598.8 282013.17 61325.89 129724.78 68296.23
200000 1 691512.52 692737.55 158049 156381.16 136305.42
200000 2 381118.57 368651.58 108296.9 107316.94 136213.15
200000 3 382439.28 388017.06 101375.39 117829.12 135857.76
200000 4 501439.65 458924.64 203932.5 150670.78 136462.52
500000 1 1461350.03 1450774.35 365718.13 362355.21 338301.23
500000 2 783403.83 765859.26 220162.75 229586.7 346866.09
500000 3 778669.92 785209.34 215526.5 212354.94 338025.32
500000 4 905642.87 871319.13 246749.19 235090.3 339600.31
1000000 1 2776901.63 2757522.98 707219.54 716881.02 683561.52
1000000 2 1523289.18 1548738.59 410448.61 419285.16 688998.87
1000000 3 1548545.16 1501676.87 415179.79 425572.46 686433.53
1000000 4 1658166.96 1652950.42 429203.59 412179.93 688194.95
5000000 1 22586428.14 22583637.5 5145696.67 5124923.27 4658048.97
5000000 2 12426830.56 12572546.87 4406920.54 4395425 4657345
5000000 3 14057946.06 12646690.48 4391833.72 4435749.78 4630666.95
5000000 4 14222779.64 12816936.21 4436510.27 4494773.62 4634820.51
