#size threads block_size3/3-Join
1 50000 825331455
2 50000 428992926
3 50000 295874851
4 50000 232357639
5 50000 199698281
6 50000 171159552
7 50000 151973324
8 50000 140869346
9 50000 140085903
10 50000 135446606
11 50000 116639432
12 50000 110613510
13 50000 107062342
14 50000 107730420
15 50000 106331521
16 50000 99322820
17 50000 97586474
18 50000 98089957
19 50000 91796981
20 50000 88741267
21 50000 93957895
22 50000 92459865
23 50000 91103728
24 50000 89623552
25 50000 85645468
26 50000 82061030
27 50000 91623720
28 50000 84366769
29 50000 82088801
30 50000 80534322
31 50000 76376716
32 50000 80402483
1 100000 765000945
2 100000 419034366
3 100000 284818900
4 100000 223305498
5 100000 193931957
6 100000 174773947
7 100000 152916854
8 100000 138764609
9 100000 140115628
10 100000 121584241
11 100000 129335355
12 100000 114792734
13 100000 108893432
14 100000 99092588
15 100000 112172032
16 100000 101547651
17 100000 106075336
18 100000 100108752
19 100000 98739609
20 100000 96550714
21 100000 92743207
22 100000 86706713
23 100000 92365501
24 100000 84148145
25 100000 94318649
26 100000 93974026
27 100000 83607083
28 100000 84685798
29 100000 80323043
30 100000 86337224
31 100000 82165306
32 100000 82341129
1 200000 710101064
2 200000 387756835
3 200000 266264489
4 200000 215625372
5 200000 176677765
6 200000 153042746
7 200000 145209145
8 200000 137901356
9 200000 127022497
10 200000 111389688
11 200000 104845500
12 200000 105834335
13 200000 102869271
14 200000 112785190
15 200000 99059276
16 200000 91954707
17 200000 93616446
18 200000 93499968
19 200000 85547651
20 200000 87657191
21 200000 86899228
22 200000 82461499
23 200000 81740461
24 200000 85874265
25 200000 87680799
26 200000 84915894
27 200000 80994355
28 200000 78827794
29 200000 82251069
30 200000 79511261
31 200000 76374390
32 200000 82398073
1 500000 673946342
2 500000 383089112
3 500000 260196721
4 500000 217034852
5 500000 204633826
6 500000 166601091
7 500000 143326727
8 500000 151921145
9 500000 136568016
10 500000 126704768
11 500000 128489702
12 500000 119680428
13 500000 122410135
14 500000 115356129
15 500000 101569559
16 500000 109684072
17 500000 107581975
18 500000 103836583
19 500000 105368534
20 500000 107778014
21 500000 110137181
22 500000 108856475
23 500000 107972360
24 500000 102749167
25 500000 106743649
26 500000 105234672
27 500000 91690516
28 500000 90358691
29 500000 92992107
30 500000 94428119
31 500000 92462249
32 500000 92630363
1 1000000 673838508
2 1000000 388738884
3 1000000 269320647
4 1000000 216870132
5 1000000 193728476
6 1000000 188955289
7 1000000 144215767
8 1000000 143204199
9 1000000 135113337
10 1000000 126701457
11 1000000 118854676
12 1000000 116862386
13 1000000 121154236
14 1000000 106089139
15 1000000 113954077
16 1000000 104786990
17 1000000 104689446
18 1000000 108693361
19 1000000 114693394
20 1000000 103977004
21 1000000 112386255
22 1000000 104907814
23 1000000 109107603
24 1000000 104069985
25 1000000 102758723
26 1000000 112019676
27 1000000 97560926
28 1000000 89482454
29 1000000 90426214
30 1000000 91281231
31 1000000 91781724
32 1000000 95499357
