#size threads block_size3/3-Join
1 50000 112746711
2 50000 68201471
3 50000 63312033
4 50000 56252259
5 50000 55380454
6 50000 46073276
7 50000 56667829
8 50000 48556436
9 50000 47630219
10 50000 48919132
11 50000 45725388
12 50000 49557882
13 50000 45500982
14 50000 44727861
15 50000 44901631
16 50000 55120583
17 50000 47499122
18 50000 46630465
19 50000 48355573
20 50000 50591126
21 50000 48306906
22 50000 48466875
23 50000 47580417
24 50000 47685219
25 50000 55969404
26 50000 46034901
27 50000 46728331
28 50000 49762940
29 50000 45574604
30 50000 46526397
31 50000 52921864
32 50000 47195009
1 100000 112837778
2 100000 75768507
3 100000 67409559
4 100000 67039000
5 100000 58823485
6 100000 57306963
7 100000 50586004
8 100000 53479336
9 100000 49772043
10 100000 47652395
11 100000 46567395
12 100000 46470728
13 100000 43596855
14 100000 48498980
15 100000 50561851
16 100000 45702899
17 100000 51422558
18 100000 45664972
19 100000 43234745
20 100000 46446953
21 100000 47479700
22 100000 45386042
23 100000 46654699
24 100000 44528328
25 100000 42324690
26 100000 45750385
27 100000 48694087
28 100000 60880502
29 100000 52001985
30 100000 47730658
31 100000 43724100
32 100000 44002913
1 200000 92044375
2 200000 84421521
3 200000 41890476
4 200000 46715634
5 200000 39857718
6 200000 39244615
7 200000 41606425
8 200000 37350035
9 200000 34210329
10 200000 39717440
11 200000 40635722
12 200000 34992665
13 200000 35584560
14 200000 35586475
15 200000 34776570
16 200000 35588816
17 200000 38361255
18 200000 36258569
19 200000 36903091
20 200000 42292701
21 200000 40346369
22 200000 40868133
23 200000 52389569
24 200000 36851674
25 200000 37435434
26 200000 36669850
27 200000 36534721
28 200000 40270267
29 200000 39753593
30 200000 37777257
31 200000 38875877
32 200000 39066550
1 500000 91531452
2 500000 56164955
3 500000 47716797
4 500000 51248171
5 500000 41746730
6 500000 36719974
7 500000 42783041
8 500000 40715397
9 500000 39552955
10 500000 42759829
11 500000 39868832
12 500000 44065415
13 500000 39421826
14 500000 41941886
15 500000 41934336
16 500000 37384092
17 500000 39123577
18 500000 40568256
19 500000 38430046
20 500000 38454795
21 500000 39051210
22 500000 37861981
23 500000 44398632
24 500000 43739320
25 500000 42083182
26 500000 38641467
27 500000 40990819
28 500000 38829339
29 500000 48897565
30 500000 45573056
31 500000 42670681
32 500000 44330367
1 1000000 88273445
2 1000000 62680769
3 1000000 48142202
4 1000000 46225379
5 1000000 45411718
6 1000000 42974174
7 1000000 42657498
8 1000000 55887003
9 1000000 38505410
10 1000000 39485624
11 1000000 43658403
12 1000000 40495020
13 1000000 34620007
14 1000000 39947856
15 1000000 42313667
16 1000000 38064494
17 1000000 40411609
18 1000000 38323907
19 1000000 40600527
20 1000000 41724385
21 1000000 42554394
22 1000000 42330132
23 1000000 45547268
24 1000000 39702268
25 1000000 43885894
26 1000000 44523184
27 1000000 43176868
28 1000000 39373599
29 1000000 47889473
30 1000000 42739463
31 1000000 41691357
32 1000000 41551826
